video_id,title,channel,query_used
mncdp50Z9O0,બેન સ્ટોક્સે રેકોર્ડ બનાવ્યો હતો | Sports News Gujarati | Bharat Sports,Bharat Sports Gujarati,gujarati sports news
RMf5mgqJ6Xk,એક જ મેચમાં ચાર સદી | Sports News Gujarati | Bharat Sports,Bharat Sports Gujarati,gujarati sports news
tOxfHfJBHRQ,વર્લ્ડ કપ.. સૌથી ખરાબ રેકોર્ડ | Sports News Gujarati | Bharat Sports,Bharat Sports Gujarati,gujarati sports news
QV7MojrMovs,જયસ્વાલ એક ઉન્મત્ત પ્રતિભા છે&#39; | Sports News Gujarati | Bharat Sports,Bharat Sports Gujarati,gujarati sports news
abJkYV9sGsw,સુભમન ગીલે સદી ફટકારી હતી | Sports News Gujarati | Bharat Sports,Bharat Sports Gujarati,gujarati sports news
W4QO6v4mO4A,ફરી એન્ટ્રી.. રાયડુ ક્રિકેટર અંબાતી રાયડુ | Sports News Gujarati | Bharat Sports,Bharat Sports Gujarati,gujarati sports news
dTEtGx6Jd2g,તિલકવર્મા એક શાનદાર ખેલાડી છે | Sports News Gujarati | Bharat Sports,Bharat Sports Gujarati,gujarati sports news
vk1aN7wbk3g,મિચેલ સ્ટાર્કનો ઐતિહાસિક રેકોર્ડ! | 434 વિકેટ સાથે હેરાથને પાછળ છોડ્યો | Cricket News,Cricket time24 Gujarati ,gujarati sports news
0b4s93ydrsc,એક વર્ષમાં 72 થી નંબર 1 રેન્ક | Sports News Gujarati | Bharat Sports,Bharat Sports Gujarati,gujarati sports news
JUooSF7ThRs,કિંગ કોહલીનો નવો રેકોર્ડ | Sports News Gujarati | Bharat Sports,Bharat Sports Gujarati,gujarati sports news
Cr-Kc68Jrt0,ટીમ ઈન્ડિયા માટે ખરાબ સમાચાર? | Sports News Gujarati | Bharat Sports,Bharat Sports Gujarati,gujarati sports news
I-HhNE38j7c,વર્લ્ડ કપ.. ભારત માટે મોટો આંચકો! | Sports News Gujarati | Bharat Sports,Bharat Sports Gujarati,gujarati sports news
rScaZHVoIlU,SRH હેડ કોચ ડેનિયલ વેટોરી | Sports News Gujarati | Bharat Sports,Bharat Sports Gujarati,gujarati sports news
aqlnrOzsGIw,સ્ટોક્સનો વનડેમાં પુનઃ પ્રવેશ | Sports News Gujarati | Bharat Sports,Bharat Sports Gujarati,gujarati sports news
RMGd7RRuNyQ,માત્ર એક જ.. ઇતિહાસ રચ્યો | Sports News Gujarati | Bharat Sports,Bharat Sports Gujarati,gujarati sports news
eNmX1euq4YY,"2 મિનિટ માં 10 ખબર । Superfast Gujarati Sports News | May 18, 2019",News18 Gujarati,gujarati sports news
PwcKsNvEfto,Gujarat Rain | ગુજરાતમાં 24 કલાકમાં 119 તાલુકામાં વરસાદ,ABP Asmita,gujarat local news
L6FPlQqONyg,Mahisagar | સંતરામપુર શહેર અને ગ્રામ્ય વિસ્તારોમાં વરસાદ,ABP Asmita,gujarat local news
t1imAyzeW6I,Ahmedabad Rain | અમદાવાદમાં સતત બીજા દિવસે પણ વરસાદી માહોલ,ABP Asmita,gujarat local news
4u_R-Bl_7mM,Gujarat Rain Forecast | રાજ્યમાં 10 વાગ્યા સુધી હળવાથી મધ્યમ વરસાદની આગાહી,ABP Asmita,gujarat local news
Azu9aPHf5YU,Surat |  સુરતમાં કીમ પોલીસ સ્ટેશનના PI સસ્પેન્ડ,ABP Asmita,gujarat local news
UhWON6Z-JC4,Gujarat Rain | સવારે 10 વાગ્યા સુધી રાજ્યમાં મધ્યમ વરસાદની આગાહી,ABP Asmita,gujarat local news
gK7VB_42qgg,ગુજરાતમાં આજથી વરસાદનો નવો રાઉન્ડ થશે શરૂ | Gujarat | TV9Gujarati,TV9 Gujarati,gujarat local news
Jc0F7d_ajec,Gujarat | હવે રાજ્યમાં ફરજિયાત સ્માર્ટ મીટર લાગશે,ABP Asmita,gujarat local news
d0ID7-6FM6o,Gujarat Top Breaking News | આજના ગુજરાતના સૌથી મોટા સમાચાર | ABP Asmita LIVE,ABP Asmita,gujarat local news
nuwUkuC-Hfs,"Rajkot | રાજકોટ-જેતપુર નેશનલ હાઈવે બિસ્માર, ખાડારાજથી લોકો પરેશાન",ABP Asmita,gujarat local news
mWA54v_otTc,The Ronak Patel Show | ગુજરાત કોંગ્રેસ વિશે શું કહ્યું વિક્રમ માડમે | ABP Asmita Podcast,ABP Asmita,gujarat local news
AwiVXkTIYwM,Sagbara Forest Land Dispute Escalates : સાગબારા જંગલ જમીન વિવાદ વકર્યો | Gujarat First,Gujarat First,gujarat local news
xtzh7Dq6GKA,Sabarkantha Rain | સાબરકાંઠા જિલ્લામાં સાર્વત્રિક વરસાદ | ABP Asmita,ABP Asmita,gujarat local news
_tovnnnNvd4,"શ્રાવણ માસમાં ભેળસેળીયા વેપારીઓ ચેતી જજો, ફૂડ વિભાગ ખાસ ટીમ બનાવી કરશે તપાસ",ABP Asmita,gujarat local news
ac7f0UQu0Fo,ABP Asmita News Headlines | સાંજના 4 વાગ્યા સુધીની TOP Headlines | 4 PM 13th August 2026,ABP Asmita,gujarat local news
u3CVYZsZKfM,Gujarat Rain Forecast | ગુજરાતમાં આજે ક્યાં ક્યાં તૂટી પડશે વરસાદ? | ABP Asmita,ABP Asmita,gujarat local news
7iB00r0bu8I,The Ronak Patel Show | અહેમદ પટેલ વિશે શું બોલ્યા વિક્રમ માડમ | ABP Asmita Podcast,ABP Asmita,gujarat local news
Frkmmbqsp3c,Gujarat Rain Breaking News | આજના ગુજરાતના વરસાદના સૌથી મોટા સમાચાર | ABP Asmita LIVE,ABP Asmita,gujarat local news
Bw2KBwXEX2I,Gujarat Rain Forecast | 4 વરસાદી સિસ્ટમ સક્રીય | 11 ઓગસ્ટે ભારે વરસાદની આગાહી,ABP Asmita,gujarat local news
0MSNEWEb-kQ,"અમદાવાદ-પાલનપુર વિભાગમાં બ્લોક, કાલે મેમુ-ડેમુ સહિત 10 ટ્રેન રદ",ABP Asmita,gujarat local news
mMcjhuDkTeI,Surat Crime News | સોસાયટીમાં ચાલતા કુટણખાના પર ત્રાટકી પોલીસ! | Gujarati News | N18S,News18 Gujarati,gujarat local news
OX8RwDOWqyk,"કલોલ-માણસા હાઈવે પર ONGCના પ્લાન્ટમાં લાગેલી આગ કાબૂમાં, બોઈલર ફાટવાથી લાગી હતી આગ",ABP Asmita,gujarat local news
ivqijt-wXm4,Ahmedabad Rain | અમદાવાદ પૂર્વમાં વહેલી સવારથી વરસાદ | ABP Asmita,ABP Asmita,gujarat local news
B7c-aN5q2O0,"Gujarat Rain Data | છેલ્લા 24 કલાકમાં 134 તાલુકામાં વરસાદ, ક્યાં કેટલો પડ્યો વરસાદ?",ABP Asmita,gujarat local news
I6xEE8TTX08,TV9Gujarati LIVE | Gujarat Rain RED ALERT | Ahmedabad Rain | Har Ghar Tiranga | 80 Independence Day,TV9 Gujarati,gujarat local news
